"NGÀY","Tháng","ID","FANPAGE","Chiến dịch","TỔNG","SPAM","TIỀM NĂNG","CHẤT LƯỢNG","ĐẶT HẸN","ĐẾN PK","CHỐT","BILL","Ngân sách mục tiêu","Ngân sách thực tế","KPI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","16","1","15","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","22","10","12","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","20","8","12","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"09/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","20","10","10","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/03/2025","03.2025","43","3 PAGE TGIL","Bảng giá Implant","10","0","10","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","20","9","10","1","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","18","10","8","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","18","10","8","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","21","12","7","2","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/03/2025","03.2025","44","3 PAGE TGIL","VTV - Liên hoàn cước - Trường Giang","14","0","7","7","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","15","8","7","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","13","7","6","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14/03/2025","03.2025","42","3 PAGE TGIL","VTV1 - Bác Sĩ Dũng ","15","9","6","0","0","0","0","","  1.000.000 ","  900.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
