"ID","Kênh","Tên chiến dịch","BẬT TẮT","Ngày bắt đầu","Ngày kết thúc","","ID","Kênh","Tên chiến dịch","BẬT TẮT","Ngày bắt đầu","Ngày kết thúc","","ID","Kênh","Tên chiến dịch","BẬT TẮT","Ngày bắt đầu","Ngày kết thúc"
"1","Page San","THÁNH SÚN ÁO BÔNG ĐEN","BẬT","","","","1","Page Teennie","A 5 TRIỆU NỀN XANH ","TẮT","","","","1","Page TGIL","HTV9","TẮT","",""
"2","Page San","NGÔ KIẾN HUY VEST TRẮNG","BẬT","","","","2","Page Teennie","B TIẾN LUẬT CHỮ HỒNG ","BẬT","","","","2","Page TGIL","VTV1 - Bác Sĩ Dũng ","BẬT","",""
"3","Page San","NGÔ KIẾN HUY VEST ĐEN THẢ TYM","","","","","3","Page Teennie","NGÔ KIẾN HUY HỒNG","","","","","3","Page TGIL","Bảng giá Implant","","",""
"4","Page San","VTV1 - San+TGIP","","","","","4","Page Teennie","TEENNIE - ASMR","","","","","4","Page TGIL","VTV - Liên hoàn cước - Trường Giang","","",""
"5","Page San","Bảng giá San Dentist","","","","","5","Page Teennie","NIỀNG RĂNG XINH, GIÁ HỌC SINH","","","","","5","Page TGIL","Trồng răng Ưu đãi 5%","","",""
"6","Page San","Liên hoàn cước San Dentist","","","","","6","Page Teennie","ƯU ĐÃI TEENNIE 31/05","","","","","6","Page TGIL","THVL1 - Bác sĩ Dũng","","",""
"7","Page San","Răng Tết","","","","","7","Khác","Khác","","","","","7","Khác","Khác TGIL","","",""
"8","Page San","Răng sứ 48H","","","","","8","Tiktok","Tiktok Teennie NKH","","","","","8","Tiktok","Tiktok TGIL","","",""
"9","Page San","Tuấn Cry - Hình Ảnh","","","","","9","Web","Web Teennie","","","","","9","Web","Web TGIP","","",""
"10","Page San","Ưu đãi Combo 16 răng sứ","","","","","10","Zalo OA","Zalo OA Teennie","","","","","10","Zalo OA","Zalo OA TGIL","","",""
"11","Page San","Ưu đãi 10% San Dentist","","","","","11","Instagram","Instagram Teennie","","","","","11","Hotline","Hotline TGIL","","",""
"12","Web","Web San","BẬT","","","","12","Hotline","Hotline Teennie","","","","","12","Giới thiệu","Giới thiệu TGIL","","",""
"13","Zalo OA","Zalo OA San","BẬT","","","","13","Giới thiệu","Giới thiệu Teennie","","","","","13","Vãng lai","Vãng lai TGIL","","",""
"14","Instagram","Instagram San","BẬT","","","","14","Vãng lai","Vãng lai Teennie","","","","","14","Instagram","Instagram TGIP","","",""
"15","Hotline","Hotline San","BẬT","","","","15","Đối tác","DOANH NGHIỆP","","","","","15","Đối tác","DOANH NGHIỆP","","",""
"16","Giới thiệu","Giới thiệu San","BẬT","","","","16","Page Teennie","Niềng Răng 5 Triệu - Tiến Luật - Chữ Hồng","","","","","16","Tư Vấn Lại (Chúc B sáng)","Tư Vấn Lại (Chúc B sáng)","","",""
"17","Vãng lai","Vãng lai San","BẬT","","","","17","Page Teennie","Promo - DEAL GIẢM 2 TRIỆU - Mess","","","","","17","DATA TRƯỜNG","DATA TRƯỜNG","","",""
"18","Đối tác","Đối tác","BẬT","","","","18","Page Teennie","Rủ bạn cùng niềng","","","","","18","Page TGIL","Nhã Phương","BẬT","23/05/2025",""
"19","Khác","San","BẬT","","","","19","Page Teennie","Nghỉ hè chill","","","","","19","Page TGIL","VTV Liên hoàn cước - Trường Giang - Test","","",""
"20","Data trường","Data trường","BẬT","","","","20","Page Teennie","5triệu","","","","","20","Page TGIL","Bảng Giá Implant - Test","","",""
"21","Tiktok","Tiktok San","BẬT","","","","21","Tiktok","Tiktok Teennie Tiến Luật ","","","","","21","Page TGIL","VTV1 - Bác sĩ Dũng Implant","","",""
"22","Page San","Ngô Kiến Huy vest xám","BẬT","","","","22","Tiktok","Khác","","","","","22","Page TGIL","Trọn gói 4tr","","",""
"23","Page San","Nhã Phương","BẬT","23/05/2025","","","23","Page Teennie","Flex Mèo","","","","","23","Page TGIL","Du lịch","","",""
"24","Page San","Đại tiệc răng sứ - NKH - Vest Trắng","BẬT","","","","24","Tiktok","Feedback ","","","","","24","Page TGIL","Carousel","","",""
"25","Page San","Tuấn Cry - Video","","","","","25","Page Teennie","Khoe điểm ","","","","","25","Page TGIL","TGT8","","",""
"26","Page San","Trọn gói 15tr","","","","","26","Tiktok","Tiktok","","","","","26","Page TGIL","Trọn bộ","","",""
"27","Page San","6Triệu","","","","","27","Page Teennie","NKH 0đ","","","","","27","Page TGIL","4 Triệu","","",""
"28","Page San","Du lịch","","","","","28","Page Teennie","HP 0đ","","","","","28","Page TGIL","Tặng trụ","","",""
"29","Page San","Thánh súng áo trắng ","","","","","29","Page Teennie","NKH Feedback","","","","","29","Page TGIL","Phục hình","","",""
"30","Page San","Review ","","","","","30","Page Teennie","Tết ","","","","","","","","","",""
"31","Page San","KOL","","","","","","","","","","","","","","","","",""
"32","Page San","Carousel","","","","","","","","","","","","","","","","",""
"33","Page San","TGT8","","","","","","","","","","","","","","","","",""
"34","Page San","Trọn bộ","","","","","","","","","","","","","","","","",""
"35","Page San","LHC","","","","","","","","","","","","","","","","",""
"36","Page San","NKH 3Không ","","","","","","","","","","","","","","","","",""
"37","Page San","Tặng trụ","","","","","","","","","","","","","","","","",""
"38","Page San","Đại tiệc","","","","","","","","","","","","","","","","",""
"39","Page San","Phục hình","","","","","","","","","","","","","","","","",""
