"NGÀY","Tháng","ID","FANPAGE","Chiến dịch","TỔNG","SPAM","TIỀM NĂNG","CHẤT LƯỢNG","ĐẶT HẸN","ĐẾN PK","CHỐT","BILL","Ngân sách mục tiêu","Ngân sách thực tế","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","15","Hotline","Hotline San","1","0","1","1","0","1","1","2.340.000","","  585.900 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","26","Page San","Trọn gói 15tr","9","6","3","3","0","1","1","3.201.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","36","Page San","NKH 3Không ","43","35","8","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","37","Page San","Tặng trụ","12","6","6","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","38","Page San","Đại tiệc","77","70","7","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","17","Vãng lai","Vãng lai San","0","","","","","1","1","1.100.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","16","Giới thiệu","Giới thiệu San","0","","","","","2","1","4.410.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","39","Page San","Phục hình","9","3","6","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","21","Tiktok","Tiktok San","5","3","2","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/01/2026","01.2026","19","Khác","San","6","3","3","3","0","1","1","27.742.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/01/2026","01.2026","19","Khác","San","5","3","2","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/01/2026","01.2026","26","Page San","Trọn gói 15tr","10","8","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/01/2026","01.2026","36","Page San","NKH 3Không ","18","17","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/01/2026","01.2026","37","Page San","Tặng trụ","4","3","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/01/2026","01.2026","16","Giới thiệu","Giới thiệu San","0","","","","","2","2","7.000.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/01/2026","01.2026","17","Vãng lai","Vãng lai San","0","","","","","2","1","5.600.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/01/2026","01.2026","38","Page San","Đại tiệc","53","51","2","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"02/01/2026","01.2026","39","Page San","Phục hình","5","5","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2026","01.2026","15","Hotline","Hotline San","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2026","01.2026","19","Khác","San","8","6","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2026","01.2026","26","Page San","Trọn gói 15tr","5","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2026","01.2026","38","Page San","Đại tiệc","60","55","5","5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2026","01.2026","16","Giới thiệu","Giới thiệu San","0","","","","","2","2","3.000.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2026","01.2026","36","Page San","NKH 3Không ","35","31","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2026","01.2026","17","Vãng lai","Vãng lai San","0","","","","","2","1","2.050.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2026","01.2026","39","Page San","Phục hình","5","2","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/01/2026","01.2026","37","Page San","Tặng trụ","6","2","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2026","01.2026","19","Khác","San","8","4","4","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2026","01.2026","36","Page San","NKH 3Không ","24","15","9","7","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2026","01.2026","37","Page San","Tặng trụ","7","4","3","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2026","01.2026","38","Page San","Đại tiệc","56","49","7","6","1","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2026","01.2026","39","Page San","Phục hình","4","3","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2026","01.2026","26","Page San","Trọn gói 15tr","2","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2026","01.2026","16","Giới thiệu","Giới thiệu San","0","0","0","0","1","2","1","4.500.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2026","01.2026","15","Hotline","Hotline San","0","0","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"04/01/2026","01.2026","17","Vãng lai","Vãng lai San","0","","","","","1","1","2.200.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","15","Hotline","Hotline San","1","","1","1","1","1","1","52.600.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","16","Giới thiệu","Giới thiệu San","1","","1","1","1","4","4","292.350.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","19","Khác","San","11","7","4","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","17","Vãng lai","Vãng lai San","0","","","","","2","2","800.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","26","Page San","Trọn gói 15tr","11","8","3","3","","1","1","91.800.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","38","Page San","Đại tiệc","66","62","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","36","Page San","NKH 3Không ","41","33","8","6","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","39","Page San","Phục hình","6","3","3","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","37","Page San","Tặng trụ","6","1","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/01/2026","01.2026","13","Zalo OA","Zalo OA San","4","","4","4","4","4","4","1.600.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06/01/2026","01.2026","19","Khác","San","21","19","2","2","0","2","2","83.290.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
