"NGÀY","Tháng","ID","FANPAGE","CHIẾN DỊCH","TỔNG","SPAM","TIỀM NĂNG","CHẤT LƯỢNG","ĐẶT HẸN","ĐẾN PK","CHỐT"," BILL ","Ngân sách mục tiêu","Ngân sách thực tế","KPI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","18","3","3","12","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","18","1","6","11","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","15","4","1","10","2","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","13","0","3","10","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","12","0","3","9","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16/03/2025","03.2025","24","2 PAGE TEENNIE","TEENNIE - ASMR","17","6","2","9","1","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","18","7","2","9","2","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","21","7","6","8","1","3","3","  108.600.000 ","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","10","0","2","8","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15/03/2025","03.2025","26","2 PAGE TEENNIE","ƯU ĐÃI TEENNIE 31/05","9","0","1","8","2","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15/03/2025","03.2025","23","2 PAGE TEENNIE","NGÔ KIẾN HUY HỒNG","8","0","0","8","0","0","0","","  1.500.000 ","  1.300.000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
